year,category,motivation,prizeShare,laureateID,fullName,gender,born,bornCountry,bornCity,died,diedCountry,diedCity,organizationName,organizationCountry,organizationCity
2023,medicine,for their discoveries concerning nucleoside base modifications that enabled the development of effective mRNA vaccines against COVID-19,2,1024,Katalin Kariko,female,17-01-1955,Hungary,Szolnok,0000-00-00,,,Szeged University,Hungary,Szeged
2023,economics,for having advanced our understanding of womens labour market outcomes,1,1034,Claudia Goldin,female,1946-00-00,USA,New York NY,0000-00-00,,,Harvard University,USA,Cambridge MA
2023,peace,for her fight against the oppression of women in Iran and her fight to promote human rights and freedom for all,1,1033,Narges Mohammadi,female,21-04-1972,Iran,Zanjan,0000-00-00,,,,,
2023,literature,for his innovative plays and prose which give voice to the unsayable,1,1032,Jon Fosse,male,29-09-1959,Norway,Haugesund,0000-00-00,,,,,
2023,chemistry,for the discovery and synthesis of quantum dots,3,1031,Alexei Ekimov,male,1945-00-00,Russia,,0000-00-00,,,Nanocrystals Technology Inc.,USA,New York NY
2023,chemistry,for the discovery and synthesis of quantum dots,3,1030,Louis Brus,male,1943-00-00,USA,Cleveland OH,0000-00-00,,,Columbia University,USA,New York NY
2023,chemistry,for the discovery and synthesis of quantum dots,3,1029,Moungi Bawendi,male,1961-00-00,France,Paris,0000-00-00,,,Massachusetts Institute of Technology (MIT),USA,Cambridge MA
2023,physics,for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter,3,1028,Anne L Huillier,female,16-08-1958,France,Paris,0000-00-00,,,Lund University,Sweden,Lund
2023,physics,for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter,3,1027,Ferenc Krausz,male,17-05-1962,Hungary,Mor,0000-00-00,,,Max Planck Institute of Quantum Optics,Germany,Garching
2023,physics,for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter,3,1026,Pierre Agostini,male,23-07-1941,Tunisia,Tunis,0000-00-00,,,The Ohio State University,USA,Columbus OH
2023,medicine,for their discoveries concerning nucleoside base modifications that enabled the development of effective mRNA vaccines against COVID-19,2,1025,Drew Weissman,male,7/9/1959,USA,Lexington MA,0000-00-00,,,Penn Institute for RNA Innovations University of Pennsylvania,USA,Philadelphia PA
2022,physics,for experiments with entangled photons establishing the violation of Bell inequalities and  pioneering quantum information science,3,1012,Alain Aspect,male,15-06-1947,France,Agen,0000-00-00,,,Institut d'Optique Graduate School - Universite Paris-Saclay,France,Paris
2022,medicine,for his discoveries concerning the genomes of extinct hominins and human evolution,1,1011,Svante Paebo,male,20-04-1955,Sweden,Stockholm,0000-00-00,,,Max Planck Institute for Evolutionary Anthropology,Germany,Leipzig
2022,economics,for research on banks and financial crises,3,1023,Philip Dybvig,male,22-05-1955,USA,Gainesville FL,0000-00-00,,,Washington University,USA,St. Louis MO
2022,economics,for research on banks and financial crises,3,1022,Douglas Diamond,male,25-10-1953,USA,Chicago IL,0000-00-00,,,University of Chicago,USA,Chicago IL
2022,economics,for research on banks and financial crises,3,1021,Ben Bernanke,male,13-12-1953,USA,Augusta GA,0000-00-00,,,The Brookings Institution,USA,Washington D.C.
2022,peace,The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.,3,1020,Center for Civil Liberties ,org,2007-00-00,,,,,,,,
2022,peace,The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.,3,1019,Memorial ,org,1987-00-00,,,,,,,,
2022,peace,The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.,3,1018,Ales Bialiatski,male,25-09-1962,Russia,Vyartsilya Karelia,0000-00-00,,,,,
2022,literature,for the courage and clinical acuity with which she uncovers the roots estrangements and  collective restraints of personal memory,1,1017,Annie Ernaux,female,1/9/1940,France,Lillebonne,0000-00-00,,,,,
2022,chemistry,for the development of click chemistry and bioorthogonal chemistry,3,1016,Morten Meldal,male,1954-00-00,Denmark,Copenhagen,0000-00-00,,,University of Copenhagen,Denmark,Copenhagen
2022,chemistry,for the development of click chemistry and bioorthogonal chemistry,3,1015,Carolyn Bertozzi,female,10/10/1966,USA,Boston MA,0000-00-00,,,Stanford University,USA,Stanford CA
2022,physics,for experiments with entangled photons establishing the violation of Bell inequalities and  pioneering quantum information science,3,1014,Anton Zeilinger,male,20-05-1945,Austria,Ried im Innkreis,0000-00-00,,,University of Vienna,Austria,Vienna
2022,physics,for experiments with entangled photons establishing the violation of Bell inequalities and  pioneering quantum information science,3,1013,John Clauser,male,1/12/1942,USA,Pasadena CA,0000-00-00,,,J.F. Clauser & Assoc.,USA,Walnut Creek CA
2022,chemistry,for the development of click chemistry and bioorthogonal chemistry,3,743,Barry Sharpless,male,28-04-1941,USA,Philadelphia PA,0000-00-00,,,Scripps Research,USA,La Jolla CA
2021,chemistry,for the development of asymmetric organocatalysis,2,1002,Benjamin List,male,11/1/1968,Germany,Frankfurt-on-the-Main,0000-00-00,,,Max Planck Institute for Coal Research,Germany,Mulheim an der Ruhr
2021,economics,for their methodological contributions to the analysis of causal relationships,4,1009,Guido Imbens,male,3/9/1963,the Netherlands,Geldrop,0000-00-00,,,Stanford University,USA,Stanford CA
2021,economics,for their methodological contributions to the analysis of causal relationships,4,1008,Joshua Angrist,male,18-09-1960,USA,Columbus OH,0000-00-00,,,Massachusetts Institute of Technology (MIT),USA,Cambridge MA
2021,economics,for his empirical contributions to labour economics,2,1007,David Card,male,1956-00-00,Canada,Guelph,0000-00-00,,,University of California,USA,Berkeley CA
2021,peace,for their efforts to safeguard freedom of expression which is a precondition for democracy and lasting peace,2,1006,Dmitry Muratov,male,1961-00-00,Russia,Samara,0000-00-00,,,,,
2021,peace,for their efforts to safeguard freedom of expression which is a precondition for democracy and lasting peace,2,1005,Maria Ressa,female,2/10/1963,Philippines,Manila,0000-00-00,,,,,
